iter	Passed	Remaining
574	2089	1544
575	2092	1540
576	2095	1536
577	2099	1532
578	2102	1529
579	2106	1525
580	2109	1521
581	2113	1517
582	2116	1513
583	2119	1509
584	2122	1505
585	2126	1502
586	2129	1498
587	2132	1494
588	2135	1490
589	2139	1486
590	2142	1482
591	2145	1478
592	2149	1475
593	2152	1471
594	2155	1467
595	2159	1463
596	2162	1459
597	2165	1455
598	2169	1452
599	2173	1448
600	2176	1444
601	2179	1440
602	2182	1437
603	2186	1433
604	2189	1429
605	2192	1425
606	2196	1421
607	2199	1418
608	2203	1414
609	2206	1410
610	2210	1407
611	2213	1403
612	2216	1399
613	2220	1395
614	2223	1391
615	2226	1388
616	2229	1384
617	2233	1380
618	2236	1376
619	2240	1372
620	2243	1369
621	2246	1365
622	2250	1361
623	2253	1357
624	2257	1354
625	2260	1350
626	2264	1347
627	2268	1343
628	2272	1340
629	2275	1336
630	2279	1332
631	2282	1329
632	2286	1325
633	2289	1321
634	2292	1318
635	2296	1314
636	2299	1310
637	2302	1306
638	2305	1302
639	2309	1298
640	2313	1295
641	2316	1291
642	2319	1287
643	2322	1284
644	2326	1280
645	2329	1276
646	2333	1272
647	2336	1269
648	2339	1265
649	2343	1261
650	2346	1257
651	2349	1253
652	2352	1250
653	2355	1246
654	2359	1242
655	2362	1238
656	2366	1235
657	2369	1231
658	2372	1227
659	2376	1224
660	2379	1220
661	2382	1216
662	2385	1212
663	2389	1208
664	2392	1205
665	2395	1201
666	2398	1197
667	2401	1193
668	2405	1190
669	2409	1186
670	2412	1182
671	2415	1179
672	2418	1175
673	2422	1171
674	2425	1168
675	2429	1164
676	2432	1160
677	2436	1157
678	2439	1153
679	2442	1149
680	2446	1145
681	2449	1142
682	2452	1138
683	2456	1134
684	2459	1130
685	2462	1127
686	2465	1123
687	2469	1119
688	2472	1115
689	2475	1112
690	2479	1108
691	2482	1104
692	2485	1101
693	2488	1097
694	2492	1093
695	2495	1089
696	2498	1086
697	2502	1082
698	2505	1078
699	2508	1075
700	2512	1071
701	2515	1067
702	2518	1064
703	2521	1060
704	2525	1056
705	2528	1053
706	2532	1049
707	2535	1045
708	2538	1042
709	2542	1038
710	2545	1034
711	2548	1030
712	2552	1027
713	2555	1023
714	2558	1020
715	2562	1016
716	2565	1012
717	2568	1008
718	2572	1005
719	2575	1001
720	2578	997
721	2582	994
722	2585	990
723	2588	986
724	2592	983
725	2595	979
726	2598	975
727	2602	972
728	2605	968
729	2609	965
730	2612	961
731	2615	957
732	2619	953
733	2622	950
734	2625	946
735	2628	942
736	2632	939
737	2635	935
738	2639	932
739	2642	928
740	2645	924
741	2648	921
742	2652	917
743	2655	913
744	2659	910
745	2662	906
746	2665	902
747	2668	899
748	2671	895
749	2675	891
750	2678	888
751	2681	884
752	2685	880
753	2688	877
754	2691	873
755	2695	869
756	2698	866
757	2701	862
758	2705	858
759	2708	855
760	2711	851
761	2715	848
762	2718	844
763	2721	840
764	2724	837
765	2728	833
766	2731	829
767	2735	826
768	2738	822
769	2742	819
770	2745	815
771	2749	811
772	2752	808
773	2756	804
774	2759	801
775	2763	797
776	2766	794
777	2770	790
778	2773	786
779	2776	783
780	2780	779
781	2783	776
782	2787	772
783	2790	768
784	2794	765
785	2797	761
786	2801	758
787	2804	754
788	2808	751
789	2811	747
790	2815	743
791	2818	740
792	2821	736
793	2825	732
794	2828	729
795	2832	725
796	2835	722
797	2838	718
798	2842	714
799	2845	711
800	2848	707
801	2852	704
802	2855	700
803	2858	696
804	2862	693
805	2865	689
806	2869	686
807	2872	682
808	2875	678
809	2878	675
810	2882	671
811	2885	668
812	2888	664
813	2892	660
814	2895	657
815	2898	653
816	2901	650
817	2905	646
818	2908	642
819	2911	639
820	2914	635
821	2918	631
822	2921	628
823	2925	624
824	2928	621
825	2932	617
826	2935	614
827	2938	610
828	2941	606
829	2945	603
830	2948	599
831	2951	596
832	2955	592
833	2958	588
834	2961	585
835	2964	581
836	2968	578
837	2971	574
838	2974	570
839	2978	567
840	2981	563
841	2984	560
842	2987	556
843	2990	552
844	2993	549
845	2997	545
846	3000	542
847	3003	538
848	3007	534
849	3010	531
850	3013	527
851	3016	524
852	3020	520
853	3023	516
854	3027	513
855	3030	509
856	3033	506
857	3037	502
858	3040	499
859	3043	495
860	3047	491
861	3050	488
862	3054	484
863	3057	481
864	3060	477
865	3064	474
866	3067	470
867	3070	466
868	3074	463
869	3077	459
870	3080	456
871	3083	452
872	3087	449
873	3090	445
874	3094	442
875	3097	438
876	3101	435
877	3105	431
878	3109	427
879	3112	424
880	3116	420
881	3119	417
882	3122	413
883	3126	410
884	3129	406
885	3133	403
886	3136	399
887	3139	395
888	3143	392
889	3146	388
890	3150	385
891	3153	381
892	3157	378
893	3161	374
894	3164	371
895	3167	367
896	3171	364
897	3174	360
898	3177	357
899	3181	353
900	3184	349
901	3188	346
902	3191	342
903	3195	339
904	3198	335
905	3201	332
906	3205	328
907	3208	325
908	3211	321
909	3215	318
910	3218	314
911	3222	310
912	3225	307
913	3229	303
914	3233	300
915	3236	296
916	3240	293
917	3243	289
918	3247	286
919	3251	282
920	3254	279
921	3257	275
922	3261	272
923	3264	268
924	3268	265
925	3271	261
926	3275	257
927	3278	254
928	3282	250
929	3285	247
930	3289	243
931	3292	240
932	3296	236
933	3300	233
934	3303	229
935	3307	226
936	3310	222
937	3314	219
938	3318	215
939	3321	212
940	3325	208
941	3328	204
942	3332	201
943	3336	197
944	3339	194
945	3342	190
946	3346	187
947	3349	183
948	3353	180
949	3356	176
950	3359	173
951	3363	169
952	3366	166
953	3369	162
