iter	RMSE
873	0.5718798226
874	0.571843869
875	0.5718124888
876	0.5718003784
877	0.571761462
878	0.5717370781
879	0.5716880429
880	0.5716737118
881	0.5716198132
882	0.5715731423
883	0.571510922
884	0.5714685297
885	0.571424734
886	0.5713844922
887	0.57136153
888	0.5713149544
889	0.5712761904
890	0.5712341982
891	0.5711816493
892	0.5711234119
893	0.5710606938
894	0.5710105359
895	0.5709733808
896	0.5709428857
897	0.5709065709
898	0.5708657522
899	0.5708383116
900	0.5708095896
901	0.5707557793
902	0.5707218476
903	0.5706727712
904	0.5706290544
905	0.5705758122
906	0.5705552943
907	0.5705199146
908	0.5704606343
909	0.5704293208
910	0.5704109559
911	0.570405386
912	0.5703455789
913	0.570313272
914	0.5702563723
915	0.5702151033
916	0.5701760733
917	0.570135846
918	0.5700734127
919	0.5700263702
920	0.5700087209
921	0.5699521305
922	0.5699063238
923	0.5698744259
924	0.5698153022
925	0.5697819434
926	0.5697587163
927	0.5697207959
928	0.5696769833
929	0.5696316858
930	0.5695789446
931	0.569555908
932	0.5695207669
933	0.5694905234
934	0.5694696487
935	0.5694582517
936	0.5694090934
937	0.5693701498
938	0.5693250104
939	0.5692800669
940	0.5692265583
941	0.569172812
942	0.5691328243
943	0.5690966205
944	0.5690649868
945	0.5690405471
946	0.569001341
947	0.5689640861
948	0.5689254852
949	0.5688779672
950	0.5688556398
951	0.5688019843
952	0.5687439359
953	0.5686963704
954	0.5686352823
955	0.5686135407
956	0.5685869013
957	0.5685473139
958	0.5685162058
959	0.568472158
960	0.5684307783
961	0.5683843941
962	0.5683576668
963	0.5682917336
964	0.5682410695
965	0.5681995864
966	0.5681691752
967	0.5681428634
968	0.5681080787
969	0.568072455
970	0.5680482835
971	0.5679976692
972	0.5679621625
973	0.5679096534
974	0.56786677
975	0.5678271997
976	0.5678019918
977	0.5677523851
978	0.5677189681
979	0.5676730022
980	0.5676488396
981	0.5675995053
982	0.5675540917
983	0.5675264243
984	0.5674643697
985	0.5674301046
986	0.5674010361
987	0.5673685468
988	0.5673316268
989	0.5672963081
990	0.5672418515
991	0.56719375
992	0.5671264225
993	0.5670836695
994	0.5670306447
995	0.5669989908
996	0.5669254827
997	0.566877285
998	0.5668489034
999	0.5668182391
